Theme Name,Keyword,Sentiment,Sentiment Positive %,Sentiment Negative %,Mention Count
Feature Variety & Customisation,Feature Variety & Customisation,positive,99,1,1111
Feature Variety & Customisation,flexible and customizable coverage plans,positive,100,0,250
Feature Variety & Customisation,unlimited annual coverage options,positive,100,0,91
Feature Variety & Customisation,Preventive Care plan add-on,positive,98,2,60
Feature Variety & Customisation,wellness rider included,positive,100,0,54
Feature Variety & Customisation,broad coverage bells and whistles,positive,100,0,52
Feature Variety & Customisation,accident-only plans,positive,100,0,34
Feature Variety & Customisation,multi-pet household suitability and management,positive,100,0,34
Feature Variety & Customisation,no upper age limit,positive,100,0,28
Feature Variety & Customisation,deductible and reimbursement rate choices and comparisons,positive,100,0,26
Feature Variety & Customisation,pet insurance coverage for prescription pet food and savings,positive,100,0,25
Feature Variety & Customisation,wellness add-ons and optional wellness packages,positive,96,4,24
Feature Variety & Customisation,accident-only and accident-and-illness options,positive,100,0,23
Feature Variety & Customisation,comprehensive coverage plans,positive,100,0,16
Feature Variety & Customisation,Gold and Platinum tiered insurance plans,positive,100,0,16
Feature Variety & Customisation,comprehensive pet insurance coverage,positive,100,0,15
Feature Variety & Customisation,plan options for dogs and cats,positive,100,0,15
Feature Variety & Customisation,individualized coverage per pet,positive,93,7,14
Feature Variety & Customisation,customizable pet coverage,positive,100,0,12
Feature Variety & Customisation,wellness add-on tiers,positive,100,0,10
Feature Variety & Customisation,various coverage levels from carriers,positive,100,0,9
Feature Variety & Customisation,pet insurance coverage for spay and neuter procedures,positive,100,0,9
Feature Variety & Customisation,variety of reimbursement options,positive,100,0,9
Feature Variety & Customisation,wellness add-ons with base policy or plan inclusion,positive,89,11,9
Feature Variety & Customisation,high degree of customization,positive,100,0,9
Feature Variety & Customisation,coverage including exam fees and dental illnesses,positive,100,0,7
Feature Variety & Customisation,reimbursement options,positive,86,14,7
Feature Variety & Customisation,pet insurance plans and options overview including Spot Pet Insurance,positive,100,0,7
Feature Variety & Customisation,"deductible options ranging from $100 to $1,000",positive,100,0,7
Feature Variety & Customisation,wellness add-ons with various options and availability,positive,100,0,7
Feature Variety & Customisation,coverage breadth and flexibility,positive,100,0,7
Feature Variety & Customisation,customizable options and fast claims,positive,100,0,7
Feature Variety & Customisation,accident-only and accident-and-illness policies,positive,100,0,7
Feature Variety & Customisation,annual limit options including unlimited choices,positive,100,0,6
Feature Variety & Customisation,range of reimbursement options,positive,100,0,6
Feature Variety & Customisation,wellness add-ons with flexible or customizable plans,positive,100,0,6
Feature Variety & Customisation,Platinum plan comprehensive coverage,positive,100,0,6
Feature Variety & Customisation,unlimited annual payout coverage options,positive,100,0,5
Feature Variety & Customisation,variety of coverage options,positive,100,0,5
Feature Variety & Customisation,"annual coverage limits ranging from $2,500 to unlimited",positive,100,0,5
Feature Variety & Customisation,customization and comprehensive coverage,positive,100,0,4
Feature Variety & Customisation,coverage and benefits tailored for senior dogs,positive,100,0,4
Feature Variety & Customisation,plans and coverage designed for senior pets,positive,100,0,4
Feature Variety & Customisation,pet insurance plans for kittens,positive,100,0,4
Feature Variety & Customisation,wide range of plan caps,positive,100,0,4
Feature Variety & Customisation,wellness add-ons with routine care coverage,positive,100,0,4
Feature Variety & Customisation,solid coverage options,positive,100,0,4
Feature Variety & Customisation,annual coverage limits unlimited,positive,100,0,4
Feature Variety & Customisation,family and shared insurance plans for pets,positive,100,0,4
Feature Variety & Customisation,strong coverage and flexibility,positive,100,0,3
Feature Variety & Customisation,kitten insurance coverage options,positive,100,0,3
Feature Variety & Customisation,multi-pet insurance policy and coverage structure,positive,100,0,3
