Domain,Domain Rating,Source Type,Number of Responses,Pages,Platforms
"""pawlicy.com""",72,"""Third party""",1033,86,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""usnews.com""",91,"""Third party""",579,45,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity"""
"""forbes.com""",94,"""Third party""",574,48,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""moneygeek.com""",77,"""Third party""",525,87,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""cnbc.com""",92,"""Third party""",523,20,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, ChatGPT"""
"""money.com""",85,"""Third party""",500,26,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""nerdwallet.com""",90,"""Third party""",473,36,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""marketwatch.com""",91,"""Third party""",472,72,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, ChatGPT"""
"""embracepetinsurance.com""",73,"""Competitor""",380,47,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""insurify.com""",73,"""Third party""",297,44,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""bestmoney.com""",55,"""Third party""",279,31,"""Microsoft Copilot, Perplexity, ChatGPT"""
"""fetchpet.com""",70,"""Competitor""",273,38,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""petinsurancereview.com""",65,"""Third party""",222,34,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""spotpet.com""",64,"""Your brand""",208,58,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""wsj.com""",92,"""Third party""",206,16,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, ChatGPT"""
"""compare.com""",64,"""Third party""",194,36,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, ChatGPT"""
"""bankrate.com""",90,"""Third party""",189,15,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""healthypawspetinsurance.com""",72,"""Third party""",166,33,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, ChatGPT"""
"""reddit.com""",95,"""Third party""",159,52,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, ChatGPT"""
"""yahoo.com""",92,"""Third party""",152,10,"""Google AI Overviews, Google AI Mode, Perplexity, ChatGPT"""
"""consumeraffairs.com""",84,"""Third party""",109,23,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""smartlyinsurances.com""",0,"""Third party""",105,12,"""Perplexity, ChatGPT"""
"""caninejournal.com""",73,"""Third party""",91,24,"""Microsoft Copilot, Perplexity, ChatGPT"""
"""rover.com""",84,"""Third party""",86,12,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""petplace.com""",75,"""Third party""",81,26,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""businessinsider.com""",92,"""Third party""",71,9,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity"""
"""freeadvice.com""",71,"""Third party""",62,1,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, ChatGPT"""
"""cbsnews.com""",92,"""Third party""",61,23,"""Google AI Overviews, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""vetexplainspets.com""",42,"""Third party""",55,36,"""Microsoft Copilot, Perplexity"""
"""joinkudos.com""",51,"""Third party""",55,2,"""Microsoft Copilot, Perplexity, ChatGPT"""
"""experian.com""",90,"""Third party""",54,3,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Gemini, ChatGPT"""
"""bestiepaws.com""",39,"""Third party""",52,13,"""Microsoft Copilot, Perplexity, ChatGPT"""
"""kiplinger.com""",85,"""Third party""",51,4,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Gemini, ChatGPT"""
"""petzooie.com""",16,"""Third party""",49,1,"""Microsoft Copilot, ChatGPT"""
"""insuranceopedia.com""",59,"""Third party""",44,18,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, ChatGPT"""
"""benzinga.com""",87,"""Third party""",40,10,"""Google AI Overviews, Google AI Mode, Perplexity, ChatGPT"""
"""fursurely.com""",0,"""Third party""",40,3,"""ChatGPT"""
"""manypets.com""",69,"""Third party""",36,4,"""Google AI Overviews, Perplexity, Gemini, ChatGPT"""
"""agencyheight.com""",56,"""Third party""",36,3,"""Microsoft Copilot, Perplexity, ChatGPT"""
"""valuepenguin.com""",81,"""Third party""",35,2,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Gemini, ChatGPT"""
"""pangovet.com""",71,"""Third party""",35,29,"""Perplexity, ChatGPT"""
"""which.co.uk""",88,"""Third party""",31,2,"""Perplexity"""
"""protectmypaws.com""",25,"""Third party""",31,6,"""ChatGPT"""
"""morningstar.com""",87,"""Third party""",30,1,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini"""
"""caninebible.com""",31,"""Third party""",30,4,"""Microsoft Copilot, ChatGPT"""
"""vetstreet.com""",77,"""Third party""",29,2,"""Perplexity, ChatGPT"""
"""pumpkin.care""",71,"""Competitor""",29,5,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""petinsuranceu.com""",34,"""Third party""",28,3,"""Microsoft Copilot, ChatGPT"""
"""consumerreports.org""",90,"""Third party""",27,2,"""Google AI Overviews, Google AI Mode, Perplexity, ChatGPT"""
"""petinsurance360.com""",0,"""Third party""",25,1,"""ChatGPT"""
"""wagwalking.com""",78,"""Third party""",25,5,"""Google AI Overviews, Perplexity"""
"""alibaba.com""",92,"""Third party""",24,1,"""Perplexity, ChatGPT"""
"""pet-insurance-university.com""",38,"""Third party""",23,4,"""Google AI Overviews, Google AI Mode, Perplexity, Gemini, ChatGPT"""
