Prompt,Status,Topic,Visibility (%),Visibility Change (%),Platforms,Type
pet insurance companies with member discounts and extra perks,ACTIVE,Pet Insurance with Perks and Discounts,33,8,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
compare pet insurance wellness plans which ones cheapest with good preventive care benefits,ACTIVE,Pet Wellness and Preventive Care,33,33,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
I take my dog to vet regularly need pet insurance that actually covers routine wellness checkup visits,ACTIVE,Pet Wellness and Preventive Care,33,26,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
give me top 5 pet insurance plans that cover hereditary conditions genetic disorders,ACTIVE,Pet Insurance for Hereditary and Chronic Conditions,33,33,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
most affordable dog insurance options under 50 dollars monthly budget,ACTIVE,Spot Pet Insurance,33,33,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
best pet insurance fastest claims processing,ACTIVE,Fast Pet Insurance Claims Processing,33,33,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
looking for pet insurance that covers accidents and lets me use any vet I choose,ACTIVE,Pet Insurance with No Network Restrictions,20,20,"Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
can you explain what exactly counts as pre existing condition for pet insurance,ACTIVE,Pet Insurance for Hereditary and Chronic Conditions,16,0,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
give me top 5 accident only pet insurance options for dogs,ACTIVE,Accident and Illness Pet Coverage,16,16,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
what kitten insurance plans include dental coverage along with comprehensive health benefits,ACTIVE,Puppy and Kitten Insurance,16,16,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
best companies offering pet insurance employee benefits,ACTIVE,Employer Pet Insurance Benefits,16,11,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
looking for pet insurance that lets me go to any vet for accident coverage,ACTIVE,Accident and Illness Pet Coverage,16,10,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
what pet insurance companies let you submit claims online through their website,ACTIVE,Fast Pet Insurance Claims Processing,16,10,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
I have a German Shepherd and worried about hip dysplasia need pet insurance that covers breed specific genetic conditions,ACTIVE,Accident and Illness Pet Coverage,16,16,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
pet insurance with preventative care add on features which plans offer this,ACTIVE,Pet Wellness and Preventive Care,16,16,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
looking for affordable pet insurance that covers both dogs and cats under one plan,ACTIVE,Multi-Pet Insurance Plans,16,16,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
what emergency pet insurance actually covers both sudden illness and accident injuries for dogs,ACTIVE,Accident and Illness Pet Coverage,16,6,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
affordable pet insurance genetic conditions coverage under reasonable budget,ACTIVE,Pet Insurance for Hereditary and Chronic Conditions,16,10,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
top 5 pet insurance companies that help cover preventive care costs,ACTIVE,Pet Wellness and Preventive Care,16,5,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
which pet insurance plans include wellness coverage like vaccinations and checkups together,ACTIVE,Pet Insurance for Dogs and Cats,16,16,"Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT",Non-branded
