Merchant Name,Category Name,% Rate,Flat Rate
& Other Stories,Clothing & Apparel,1.0,0.0
1 Driving School,Education,10.0,0.0
1-800-FLORALS,Gifts,20.0,0.0
1-800-GOT-JUNK?,Household,2.0,0.0
10Web,B2B,10.0,0.0
10th Mountain Whiskey & Spirit,Liquor & Spirits,10.0,0.0
111SKIN,Health & Beauty,2.0,0.0
1212,Baby & Kids,12.0,0.0
123Inkjets,Ink,5.0,0.0
12GO,Travel,50.0,0.0
1620 USA,Clothing & Apparel,4.0,0.0
1771 Living,Bed & Bath,10.0,0.0
19/99 Beauty,Beauty & Cosmetics,15.0,0.0
1Dental,Insurance,50.0,50.0
1ink.com,Ink,16.0,0.0
1st Class Cigar Humidors,Tobacco,7.0,0.0
1st in Coffee,Kitchen & Dining,3.0,0.0
2 Putt,Clothing & Apparel,8.0,0.0
2000Freebies.com free freebies newsletter,Gambling,0.0,0.65
20i,Web Hosting & Domains,0.0,80.0
24-7PressRelease,B2B,0.0,15.0
25karats,Jewelry,5.0,0.0
27 Miles Malibu,Clothing & Apparel,10.0,0.0
2Fdeal,e-Cigarettes & Vaporizers,5.0,0.0
2Sand,Tools,2.4,0.0
2Usmiles,Health Care,0.0,200.0
2nd & Charles,Books & Magazines,8.0,0.0
2xist,Men,4.0,0.0
31 Phillip Lim,Clothing & Apparel,2.0,0.0
32 Degrees,Clothing & Apparel,6.4,0.0
34 Heritage,Men,3.2,0.0
360TotalSecurity,Software,43.04,30.72
365 Data Science,Online Courses,50.0,0.0
365 Financial Analyst,Online Courses,50.0,0.0
365 Printing Inc,Clothing & Apparel,10.0,0.0
3CHI,CBD,5.0,0.0
3CR Tactical,Weapons,5.0,0.0
3Doodler,Arts & Crafts,5.0,5.12
3V Gear,Outdoor Recreation,8.0,0.0
3rd Rock Essentials,Personal Care,20.0,0.0
44 Pro,Baseball & Softball,2.0,0.0
48hourslogo,Advertising & Marketing,0.0,20.0
4AllPromos,Advertising & Marketing,2.0,0.0
4Fathers CBD,CBD,15.0,0.0
4U Health,CBD,10.0,0.0
4WD Supa Centre,Outdoor Recreation,0.8,0.0
4giveness,Swimwear,10.0,0.0
