Merchant Name,Category Name,c. Total Coupons,% Rate,Flat Rate
Sourcemore.com,e-Cigarettes & Vaporizers,1391,8.0,0.0
VapeSourcing,e-Cigarettes & Vaporizers,1212,10.4,0.0
BangGood,Department Stores,553,13.0,0.0
Geekbuying,Consumer Electronics,362,10.0,0.0
ShopSimon,Accessories,323,8.0,150.0
Gshopper,Department Stores,249,7.0,0.0
Olivenorma,Collectibles,249,30.0,0.0
MoreVaping,e-Cigarettes & Vaporizers,202,12.0,0.0
Exam Edge,Education,181,27.0,0.0
Smoke Cartel,Tobacco,170,18.0,0.0
HottPerfume,Fragrance & Cologne,165,12.5,0.0
Herbspro,Vitamins & Supplements,156,11.0,0.0
Lenovo,Computers & Accessories,131,9.0,36.0
Hernest,Household,109,8.0,0.0
Anker,Consumer Electronics,103,8.0,0.0
FAB CBD,CBD,102,72.0,0.0
Stylevana,Beauty & Cosmetics,95,12.0,0.0
Vitacost,Health Care,91,4.0,0.0
Sephra,Food & Gourmet,91,8.0,0.0
Szul,Jewelry,86,12.0,0.0
Ebay,Department Stores,85,6.0,0.0
Venusfun,Sex Toys,84,10.0,0.0
Itead,Consumer Electronics,80,12.0,7.68
Hermosa Hair,Health & Beauty,79,6.0,0.0
PetPlate,Dog Supplies,79,0.0,25.0
GameStop,Video Games,73,7.0,5.0
Until Gone,Department Stores,69,5.0,0.0
Joye Tech,e-Cigarettes & Vaporizers,68,5.0,0.0
VitaMedica,Health & Beauty,67,8.0,0.0
Walgreens,Health & Beauty,67,4.0,0.0
UNice,Beauty & Cosmetics,67,12.0,0.0
InsideTracker,Health & Beauty,66,8.0,0.0
DailySteals,Department Stores,66,5.0,0.0
PINKBLUSH,Maternity,65,5.0,0.0
klaiyi hair,Beauty & Cosmetics,63,8.0,0.0
Dank Stop,CBD,61,24.0,0.0
Sephora,Beauty & Cosmetics,60,18.0,0.0
Elegoo,3D Printers,59,7.0,0.0
Jackery,Consumer Electronics,58,10.0,0.0
Vapor Empire,e-Cigarettes & Vaporizers,55,10.0,0.0
Waterdrop,Kitchen & Dining,55,8.0,0.0
Joy Organics,CBD,55,25.0,0.0
Beauty Care Choices,Health & Beauty,55,6.4,0.0
Pick Your Plum,Department Stores,53,5.0,0.0
Electronics Expo,Satellite TV & Radio,52,4.0,0.0
COOFANDY,Clothing & Apparel,52,18.0,0.0
AliExpress,Department Stores,51,22.1,43.0
GiftCards.com,Gift Certificates,51,5.0,0.0
Casetify,Consumer Electronics,50,10.5,0.0
Lane Bryant,Clothing & Apparel,49,8.0,0.0
iHerb,Vitamins & Supplements,48,5.0,0.0
Samsung,Consumer Electronics,48,50.0,45.0
Piscifun,Fishing,48,10.0,0.0
Yaheetech,Furniture,47,10.0,0.0
Cafago,Consumer Electronics,46,6.0,0.0
Dr. Scholl's,Health Care,46,8.0,10.0
Event Tickets Center,Event Tickets,46,3.0,0.0
EMEET,Audio,46,12.0,0.0
Ishow Hair,Hair Accessories,46,8.0,0.0
"CheckOutStore, Inc.",Consumer Electronics,46,4.0,0.0
Loragal,Women,44,8.0,0.0
Geologie,Health & Beauty,43,4.8,8.0
MYCHWAY,Health & Beauty,42,20.0,0.0
Keurig,Kitchen & Dining,42,8.0,0.0
Nadula,Beauty & Cosmetics,42,8.0,0.0
TideWe,Hunting & Shooting,41,15.0,0.0
Wondershare,Software,41,45.0,0.0
Braun,Personal Care,40,14.4,0.0
Flawless Vape Shop,e-Cigarettes & Vaporizers,40,10.0,0.0
DHGate,Department Stores,39,51.0,0.0
ThinOPTICS,Contacts & Glasses,39,27.0,0.0
Brutus Broth,Animals & Pet Supplies,38,10.0,0.0
SILKSILKY,Clothing & Apparel,38,10.0,0.0
Kaplan,Education,37,3.0,0.0
Benefit Cosmetics,Beauty & Cosmetics,37,12.0,0.0
Jonathan Adler,Furniture,37,8.0,0.0
PetLibro,Animals & Pet Supplies,37,12.0,0.0
Sunber Hair,Health & Beauty,37,8.0,0.0
Shutterfly,Photo & Canvas Services,37,4.0,0.88
Willwork Jewelry,Jewelry,36,6.0,0.0
Crocs,Shoes,36,8.0,0.0
Kohl's,Department Stores,36,4.0,0.0
Ejuice Connect,e-Cigarettes & Vaporizers,35,10.0,0.0
Acme Tools,Hardware,35,3.0,0.0
Dr. Brandt Skincare,Health & Beauty,35,12.0,0.0
