Merchant Name,Category Name,% Rate,Flat Rate
ACE Cash Express,Financial,0.0,2.0
Academy Sports + Outdoor,Sporting Goods,3.0,0.0
Accorhotels.com,Hotel,4.0,0.0
Advance Auto Parts,Vehicles & Parts,0.8,0.0
AirbnbSEO,Advertising & Marketing,10.0,0.0
AlgoLaser,Appliances,8.0,0.0
AnkerMake,3D Printers,12.0,0.0
Banana Republic,Clothing & Apparel,6.0,0.0
Banana Republic Factory,Clothing & Apparel,4.0,0.0
BarkBox & Super Chewer,Animals & Pet Supplies,0.0,20.0
Barton Perreira,Sunglasses,10.0,0.0
Bass Pro Shops,Outdoor Recreation,4.0,0.0
Bed Bath & Beyond,Bed & Bath,7.0,0.0
Bernardelli Stores,Clothing & Apparel,6.0,0.0
Billy Reid,Clothing & Apparel,8.0,0.0
Boletos Express,Event Tickets,0.0,1.0
Booking.com,Travel,6.0,2.0
CRX - Car Rental Express,Travel,4.0,0.0
Calgee,Vitamins & Supplements,15.0,0.0
Canon,Camera & Optics,3.0,0.0
Car Keys Express,Vehicle Safety & Security,10.0,0.0
Charlie Bravo Delta,Consumer Services,8.0,0.0
Clean Machine,Vitamins & Supplements,8.0,0.0
Columbia Care,CBD,15.0,0.0
Columbia Sportswear,Clothing & Apparel,13.0,0.0
CupStation,Vehicle Storage & Cargo,0.0,15.5
Delta Children,Babies & Kids,5.0,0.0
Delta Munchies LLC.,CBD,15.0,0.0
Delta Remedys,CBD,25.0,0.0
Delta Waterfowl,Hunting & Shooting,7.0,0.0
Dermaclara,Health & Beauty,0.0,8.0
DesignCrowd,Office,0.0,1.0
Disney+,Media,18.0,0.0
Dorothee Schumacher,Clothing & Apparel,6.0,0.0
Doughp,Desserts,5.0,0.0
EntirelyPets Pharmacy,Animals & Pet Supplies,3.0,0.0
Etsy,Department Stores,4.0,0.0
Express,Clothing & Apparel,0.8,1.0
Express VPN,Computers & Accessories,90.0,0.0
Express Water,Household,8.0,0.0
ExpressTrainers.com,Shoes,2.0,0.0
Expressions,Clothing & Apparel,0.0,0.144
FedEx Office,Office,3.0,0.0
Ghirardelli Chocolate,Food & Gourmet,8.0,0.0
Ghostwriter Express,Books & Magazines,20.0,0.0
HBM Machines,Tools,5.0,0.0
HP Instant Ink,Office,0.0,11.0
HP Sprocket,"Print, Copy, Scan & Fax",10.0,0.0
HandsGroups,e-Cigarettes & Vaporizers,5.0,0.0
Heirloom Amalgam,Clothing & Apparel,15.0,0.0
Hillga,Household,5.0,0.0
Homes & Villas by Marriott,Travel,3.0,0.0
Hotels.com,Travel,5.0,0.0
Hulu,Movies,20.0,0.0
IT Luggage,Luggage & Bags,8.0,0.0
Iberia Express,Travel,1.75,0.0
Instacart,Online Grocery,2.4,5.0
JCPenney Portraits,Photo & Canvas Services,0.0,7.0
Jackie Mack Designs,Jewelry,15.0,0.0
Jared Jewelers,Jewelry,2.0,0.0
Kay Jewelers,Jewelry,2.0,0.0
KilgourMD,Health & Beauty,5.0,0.0
LG Beauty,Health & Beauty,10.0,0.0
LaunchPass,Financial,50.0,0.0
Le Mini Macaron,Health & Beauty,4.8,0.0
Les Nereides,Jewelry,10.0,0.0
Lit: Love & Intimacy Tools,Sex Toys,8.0,0.0
Lordelle,Kitchen & Dining,20.0,0.0
Luggage Forward,Travel,8.0,0.0
Mac Sales | Other World Computing,Computers & Accessories,30.0,0.0
MacCase,Accessories,10.0,0.0
MacGregor Golf (USA),Golf,5.0,0.0
MacKeeper,Software,55.0,0.0
MacKenzie-Childs,Household,2.4,0.0
MacPlus Software,Software,35.0,0.0
Maceoo Global,Men,5.0,0.0
Machete,Accessories,10.0,0.0
Mack Weldon,Men,4.0,0.0
Marriott Bonvoy Boutiques,Household,10.0,0.0
Medimpex United Inc,Medical,7.0,0.0
My Spotify Plaque,Home Decor,10.0,0.0
MyChelle Dermaceuticals,Beauty & Cosmetics,8.0,0.0
NOICE Care Botanical Toothpaste,,0.0,3.0
Nalgene,Household,10.0,0.0
Native Campervans,Camping & Hiking,0.0,80.0
Nature's Mace,Yard & Garden,7.0,0.0
Newegg Business,Computers & Accessories,1.0,0.0
"Northport Loop Co., Ltd.",Bed & Bath,8.0,0.0
O'Reilly,Education,4.8,0.0
Overstock Ink,Ink,16.0,0.0
Parts Express,Audio,6.0,0.0
Pineapples Palms Too,Household,15.0,0.0
Puma Golf and Cobra Golf,Golf,6.0,0.0
Rakuten,B2B,15.0,0.0
Reigning Champ,Sporting Goods,8.0,0.0
Riedell Skates,Sporting Goods,7.0,0.0
Rollga,Health Care,20.0,0.0
SPIER & MACKAY,Clothing & Apparel,4.0,0.0
Sears,Department Stores,2.0,0.0
Sears Parts Direct,Building Supplies,4.0,0.0
SecureMac,Software,20.0,0.0
Senior Subway,Consumer Services,25.0,0.0
Sentiments Express,Gifts,6.0,0.0
Sewingmachinesplus.com,Arts & Crafts,10.0,0.0
SleepTight Mouthpiece,Personal Care,0.0,20.0
SmacoSports,Sporting Goods,10.0,0.0
Sony Electronics,Audio,3.0,0.0
Standard Luggage Co.,Luggage & Bags,10.0,0.0
Staples Promo,B2B,10.0,0.0
StewMac Affiliate Program,Musical Instruments & Accessories,7.0,0.0
TAKE OFF Luggage,Luggage & Bags,10.0,0.0
Target Test Prep,Online Courses,18.0,0.0
TechPals,Consumer Electronics,20.0,0.0
The Container Store,Household,3.0,0.0
The Cowgirl Premium Sex Machine,Sex Toys,5.0,0.0
The Maca Team,Vitamins & Supplements,10.0,0.0
The Organic Pharmacy,Beauty & Cosmetics,3.0,0.0
Thermacell Repellents,Outdoor Living,7.0,0.0
Thermacup,Appliances,10.0,0.0
Timberland,Shoes,5.0,0.0
Trafalgar,Travel,5.0,0.0
Trafalgar Store,Accessories,10.0,0.0
Triple Nikel,Clothing & Apparel,11.0,0.0
ULTA Beauty,Health & Beauty,7.0,0.0
Uber Eats,Consumer Services,0.0,3.0
Ubersuggest by Neil Patel,B2B,10.0,0.0
United By Blue,Clothing & Apparel,5.0,0.0
United Parks & Resorts,Amusement & Theme Parks,4.0,0.0
United Tax,Consumer Services,0.0,100.0
Upstart.com,Financial,1.4,0.0
Upstate Elevator Supply Co.,CBD,3.0,0.0
VANSWE FITNESS,Weight Lifting,5.0,0.0
Vacations by Marriott Bonvoy,Vacation Packages,2.0,0.0
WorthPoint,Consumer Services,50.0,0.0
