Merchant Name,Category Name,Country code,c. Total Coupons,% Rate,Flat Rate
Sourcemore.com,e-Cigarettes & Vaporizers,US,1391,8.00%,
VapeSourcing,e-Cigarettes & Vaporizers,US,1212,10.40%,
BangGood,Department Stores,US,553,13.00%,
Geekbuying,Consumer Electronics,US,362,10.00%,
ShopSimon,Accessories,US,323,8.00%,150
Gshopper,Department Stores,US,249,7.00%,
Olivenorma,Collectibles,US,249,30.00%,
MoreVaping,e-Cigarettes & Vaporizers,US,202,12.00%,
Exam Edge,Education,US,181,27.00%,
Smoke Cartel,Tobacco,US,170,18.00%,
HottPerfume,Fragrance & Cologne,US,165,12.50%,
Herbspro,Vitamins & Supplements,US,156,11.00%,
Lenovo,Computers & Accessories,US,131,9.00%,36
Hernest,Household,US,109,8.00%,
Anker,Consumer Electronics,US,103,8.00%,
FAB CBD,CBD,US,102,72.00%,
Stylevana,Beauty & Cosmetics,US,95,12.00%,
Vitacost,Health Care,US,91,4.00%,
Sephra,Food & Gourmet,US,91,8.00%,
Szul,Jewelry,US,86,12.00%,
Ebay,Department Stores,US,85,6.00%,
Venusfun,Sex Toys,US,84,10.00%,
Itead,Consumer Electronics,US,80,12.00%,7.68
Hermosa Hair,Health & Beauty,US,79,6.00%,
PetPlate,Dog Supplies,US,79,,25
GameStop,Video Games,US,73,7.00%,5
Until Gone,Department Stores,US,69,5.00%,
Joye Tech,e-Cigarettes & Vaporizers,US,68,5.00%,
UNice,Beauty & Cosmetics,US,67,12.00%,
VitaMedica,Health & Beauty,US,67,8.00%,
Walgreens,Health & Beauty,US,67,4.00%,0
InsideTracker,Health & Beauty,US,66,8.00%,
DailySteals,Department Stores,US,66,5.00%,
PINKBLUSH,Maternity,US,65,5.00%,
klaiyi hair,Beauty & Cosmetics,US,63,8.00%,
Dank Stop,CBD,US,61,24.00%,
Sephora,Beauty & Cosmetics,US,60,18.00%,
Elegoo,3D Printers,US,59,7.00%,
Jackery,Consumer Electronics,US,58,10.00%,
Vapor Empire,e-Cigarettes & Vaporizers,US,55,10.00%,
Waterdrop,Kitchen & Dining,US,55,8.00%,
Joy Organics,CBD,US,55,25.00%,
Beauty Care Choices,Health & Beauty,US,55,6.40%,
Pick Your Plum,Department Stores,US,53,5.00%,
