Topic,ChatGPT,Gemini,Google AI Mode,Google AI Overviews,Microsoft Copilot,Perplexity
Multi-Pet Insurance Plans,44%,80%,70%,44%,93%,27%
Pet Insurance for Dogs and Cats,60%,73%,59%,61%,73%,24%
Pet Insurance with No Network Restrictions,69%,36%,27%,29%,71%,31%
Pet Insurance with Perks and Discounts,60%,60%,70%,60%,70%,20%
Pet Wellness and Preventive Care,23%,50%,66%,52%,55%,14%
Puppy and Kitten Insurance,36%,58%,30%,33%,64%,20%
Spot Pet Insurance,57%,49%,41%,41%,62%,11%
Pet Insurance for Hereditary and Chronic Conditions,22%,58%,58%,36%,42%,20%
Fast Pet Insurance Claims Processing,50%,17%,9%,13%,20%,9%
Accident and Illness Pet Coverage,32%,32%,26%,32%,50%,5%
Employer Pet Insurance Benefits,28%,30%,20%,24%,30%,0%
