date,country,total_new_policies,total_ft_quoters,qtp
2025-11-30,Canada,11,173,0.0636
2025-11-30,US,682,3153,0.2163
2025-11-29,Canada,4,184,0.0217
2025-11-29,US,660,2839,0.2325
2025-11-28,Canada,16,197,0.0812
2025-11-28,US,642,2740,0.2343
2025-11-27,Canada,7,271,0.0258
2025-11-27,US,480,2154,0.2228
2025-11-26,Canada,13,268,0.0485
2025-11-26,US,750,3151,0.2380
2025-11-25,Canada,16,259,0.0618
2025-11-25,US,812,3771,0.2153
2025-11-24,Canada,21,235,0.0894
2025-11-24,US,971,4068,0.2387
2025-11-23,Canada,12,177,0.0678
2025-11-23,US,677,3210,0.2109
2025-11-22,Canada,4,179,0.0223
2025-11-22,US,695,3121,0.2227
2025-11-21,Canada,12,199,0.0603
2025-11-21,US,951,3762,0.2528
2025-11-20,Canada,18,246,0.0732
2025-11-20,US,986,4589,0.2149
2025-11-19,Canada,14,276,0.0507
2025-11-19,US,981,4827,0.2032
2025-11-18,Canada,14,302,0.0464
2025-11-18,US,939,4557,0.2061
2025-11-17,Canada,14,316,0.0443
2025-11-17,US,1094,4650,0.2353
2025-11-16,Canada,8,149,0.0537
2025-11-16,US,683,3442,0.1984
2025-11-15,Canada,4,192,0.0208
2025-11-15,US,727,3207,0.2267
2025-11-14,Canada,8,314,0.0255
2025-11-14,US,1152,4283,0.2690
2025-11-13,Canada,14,290,0.0483
2025-11-13,US,1000,4767,0.2098
2025-11-12,Canada,8,267,0.0300
2025-11-12,US,1010,5329,0.1895
2025-11-11,Canada,10,250,0.0400
2025-11-11,US,995,4860,0.2047
2025-11-10,Canada,13,248,0.0524
2025-11-10,US,1156,5459,0.2118
2025-11-09,Canada,5,177,0.0282
2025-11-09,US,750,3777,0.1986
2025-11-08,Canada,10,172,0.0581
2025-11-08,US,756,3453,0.2189
2025-11-07,Canada,14,211,0.0664
2025-11-07,US,1079,4403,0.2451
2025-11-06,Canada,16,271,0.0590
2025-11-06,US,1045,5171,0.2021
2025-11-05,Canada,11,205,0.0537
2025-11-05,US,1137,5270,0.2157
2025-11-04,Canada,5,204,0.0245
2025-11-04,US,1076,5468,0.1968
2025-11-03,Canada,17,186,0.0914
2025-11-03,US,1266,6379,0.1985
2025-11-02,Canada,7,172,0.0407
2025-11-02,US,750,3957,0.1895
2025-11-01,Canada,12,140,0.0857
2025-11-01,US,699,3619,0.1931
